Generation,Max Score,Total Score,Average Score,Weights,Time for Generation,Best Average Time,Population Time
0,0.006953649,0.285719771,0.005714395,"[-0.53, 1.03, -2.4, -0.02, -1.4]",77.95771599,143.8093931,3.499932803
1,0.007105274,0.30902332,0.006180466,"[-1.94, 0.34, -2.94, -0.38, -0.14]",83.40170002,140.7405215,3.236001738
2,0.007148067,0.330136125,0.006602722,"[-2.0155024622168303, 0.79, -1.67, 0.07678859453381037, -1.02]",82.96095586,139.8979517,3.029053549
3,0.007148067,0.343708544,0.006874171,"[-2.0155024622168303, 0.79, -1.67, 0.07678859453381037, -1.02]",91.0553658,139.8979517,2.909441782
4,0.007198643,0.348298933,0.006965979,"[-2.0155024622168303, 0.79, -1.67, 0.21049806925320436, -1.4]",95.57583904,138.915074,2.871096941
5,0.007198643,0.355699048,0.007113981,"[-2.0155024622168303, 0.79, -1.67, 0.21049806925320436, -1.4]",107.0234509,138.915074,2.811365413
6,0.007198643,0.355272308,0.007105446,"[-2.0155024622168303, 0.79, -1.67, 0.21049806925320436, -1.4]",105.5671799,138.915074,2.814742322
7,0.007198643,0.357112644,0.007142253,"[-1.94, 0.79, -1.67, 0.21049806925320436, -1.4]",103.579829,138.915074,2.800236894
8,0.007198643,0.357229795,0.007144596,"[-1.94, 0.79, -1.67, 0.21049806925320436, -1.4]",103.093833,138.915074,2.799318575
9,0.007198643,0.357726962,0.007154539,"[-1.94, 0.79, -1.67, 0.21049806925320436, -1.4]",108.574115,138.915074,2.795428097
10,0.007198839,0.357892849,0.007157857,"[-2.0155024622168303, 0.20550000637820698, 0.2948165262432434, 0.21049806925320436, -1.4]",99.09562516,138.9112918,2.794132388
11,0.007205948,0.357954335,0.007159087,"[-2.0155024622168303, 0.79, -2.94, 0.2025769406194175, -1.4]",100.536778,138.7742463,2.793652438
12,0.007205948,0.358776444,0.007175529,"[-2.0155024622168303, 0.79, -2.94, 0.2025769406194175, -1.4]",98.05854964,138.7742463,2.787250993
13,0.007207141,0.356777171,0.007135543,"[-2.0155024622168303, 0.79, -1.67, 0.2025769406194175, -1.4]",96.14876509,138.7512803,2.802869915
14,0.007207141,0.358465598,0.007169312,"[-2.0155024622168303, 0.79, -1.67, 0.2025769406194175, -1.4]",95.08670616,138.7512803,2.789667975
15,0.007207141,0.357889618,0.007157792,"[-2.0155024622168303, 0.79, -1.67, 0.2025769406194175, -1.4]",94.84908795,138.7512803,2.794157608
16,0.007207141,0.357463756,0.007149275,"[-2.0155024622168303, 0.79, -1.67, 0.2025769406194175, -1.4]",95.64117289,138.7512803,2.797486412
17,0.007207141,0.358503788,0.007170076,"[-2.0155024622168303, 0.79, -1.67, 0.2025769406194175, -1.4]",93.50360084,138.7512803,2.789370807
18,0.007207141,0.357908658,0.007158173,"[-2.0155024622168303, 0.79, -1.67, 0.2025769406194175, -1.4]",96.9963007,138.7512803,2.794008968
19,0.007207141,0.358208024,0.00716416,"[-2.0155024622168303, 0.79, -1.67, 0.2025769406194175, -1.4]",98.04963207,138.7512803,2.791673927